,Ticker1,Ticker2,PnL,Alpha,Beta
17,LRCX,LOW,-3874.84,0.259428,0.690572
7,GOOGL,LOW,-3566.77,0.243905,0.706095
11,JPM,LOW,-2775.33,0.235304,0.714696
6,CVX,LOW,-1620.24,0.256298,0.693702
25,V,LOW,-846.05,0.2478,0.7022
12,JPM,V,-648.917,0.252313,0.697687
24,TXN,GILD,-327.76,0.256283,0.693717
3,BAC,HD,-256.849,0.247171,0.702829
16,KRE,XOM,0.0,0.244899,0.705101
19,META,KRE,323.709,0.259297,0.690703
10,INTC,XOM,437.23,0.259377,0.690623
20,MNST,XLU,899.361,0.232131,0.717869
1,AMAT,CL,917.167,0.256266,0.693734
21,PEP,XOM,1045.13,0.256628,0.693372
5,CL,CVX,1094.33,0.253775,0.696225
15,KO,GILD,1234.26,0.239113,0.710887
13,KBE,INTC,1260.21,0.229127,0.720873
0,ADI,GILD,1362.19,0.246702,0.703298
14,KO,ADI,3083.79,0.251541,0.698459
23,SHEL,XLU,3092.29,0.269504,0.680496
9,INTC,UPS,3183.36,0.248437,0.701563
4,BP,MS,3241.64,0.255825,0.694175
22,SHEL,AVGO,3284.79,0.253055,0.696945
29,XOM,PEP,3373.6,0.24883,0.70117
18,LRCX,MS,3888.07,0.243873,0.706127
30,XOM,XLU,4335.82,0.25219,0.69781
8,GOOGL,XLF,5433.0,0.248737,0.701263
27,XOM,BAC,5641.68,0.251981,0.698019
26,XOM,AVGO,5828.63,0.250681,0.699319
28,XOM,HD,6155.41,0.251375,0.698625
2,AMD,CL,13405.5,0.259573,0.690427
