Alpha,Beta,TotalPnL,SharpeRatio,TradeCount
0.246703,0.703297,5093.72,55.2105,4
0.246703,0.703297,5093.72,55.2105,4
0.246703,0.703297,6088.27,51.5112,5
0.246703,0.703297,6088.27,51.5112,5
0.246703,0.703297,6014.52,50.9731,5
0.246703,0.703297,6177.37,45.267,6
0.246703,0.703297,6177.37,45.267,6
0.246703,0.703297,6177.37,45.267,6
0.246703,0.703297,6321.92,45.0651,6
0.246703,0.703297,6071.58,44.8152,6
0.246703,0.703297,5913.84,31.9962,7
0.246703,0.703297,5846.95,31.9435,7
0.246703,0.703297,6501.12,27.6159,7
0.246703,0.703297,6501.12,27.6159,7
0.246703,0.703297,6501.12,27.6159,7
