EntryDate,ExitDate,Side,EntryPrice,ExitPrice,PnL,TotalValue
2022-02-01,2022-02-24,SHORT,73.9742,68.2491,773.926,100774
2022-03-01,2022-04-07,LONG,68.6645,72.6197,580.471,101354
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.934,101911
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.494,102348
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.254,102829
2022-06-08,2022-06-21,LONG,70.7294,69.4487,-186.194,102643
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.078,102747
2022-07-20,2022-07-22,LONG,69.0955,70.7953,252.758,103000
2022-07-26,2022-08-26,SHORT,71.7639,72.3854,-89.19,102911
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.3625,102865
2022-11-29,2022-12-01,LONG,69.8823,71.5196,241.019,103106
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.199,103393
2023-01-12,2023-01-13,LONG,70.6826,71.6116,135.901,103529
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.422,103823
2023-04-24,2023-05-31,SHORT,72.5505,69.29,466.591,104289
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.564,104406
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.95,104629
2023-07-14,2023-08-21,SHORT,71.209,69.1842,297.504,104926
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.816,105035
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.163,105247
2022-02-01,2022-02-24,SHORT,73.9742,68.2491,773.926,100774
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.518,101265
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.446,101822
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.111,102258
2022-05-18,2022-06-02,LONG,68.7675,72.001,480.831,102739
2022-06-08,2022-06-21,LONG,70.7294,69.4487,-186.031,102553
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,103.987,102657
2022-07-20,2022-07-22,LONG,69.0955,70.7953,252.536,102909
2022-07-27,2022-08-26,SHORT,71.9741,72.3854,-58.7995,102851
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.336,102805
2022-11-29,2022-12-01,LONG,69.8823,71.5196,240.879,103046
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.032,103333
2023-01-12,2023-01-13,LONG,70.6826,71.6116,135.821,103469
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.251,103762
2023-04-24,2023-05-31,SHORT,72.5505,69.29,466.319,104228
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.496,104345
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.82,104568
2023-07-19,2023-08-21,SHORT,71.1904,69.1842,294.67,104862
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.75,104971
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.034,105183
2022-02-01,2022-02-24,SHORT,73.9742,68.2491,773.926,100774
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.518,101265
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.446,101822
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.111,102258
2022-05-18,2022-06-02,LONG,68.7675,72.001,480.831,102739
2022-06-08,2022-06-21,LONG,70.7294,69.4487,-186.031,102553
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,103.987,102657
2022-07-20,2022-07-22,LONG,69.0955,70.7953,252.536,102909
2022-07-27,2022-08-26,SHORT,71.9741,72.3854,-58.7995,102851
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.336,102805
2022-11-29,2022-12-01,LONG,69.8823,71.5196,240.879,103046
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.032,103333
2023-01-12,2023-01-13,LONG,70.6826,71.6116,135.821,103469
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.251,103762
2023-04-24,2023-05-31,SHORT,72.5505,69.29,466.319,104228
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.496,104345
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.82,104568
2023-07-19,2023-08-21,SHORT,71.1904,69.1842,294.67,104862
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.75,104971
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.034,105183
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.996,101364
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.987,101921
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.535,102357
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.299,102839
2022-06-08,2022-06-21,LONG,70.7294,69.4487,-186.212,102653
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.088,102757
2022-07-20,2022-07-22,LONG,69.0955,70.7953,252.782,103009
2022-07-27,2022-08-26,SHORT,71.9741,72.3854,-58.8567,102951
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.3801,102905
2022-11-29,2022-12-01,LONG,69.8823,71.5196,241.113,103146
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.311,103434
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.151,103727
2023-04-24,2023-05-31,SHORT,72.5505,69.29,466.16,104193
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.456,104309
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.744,104532
2023-07-19,2023-08-21,SHORT,71.1904,69.1842,294.57,104827
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.713,104935
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,211.961,105147
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.996,101364
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.987,101921
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.535,102357
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.299,102839
2022-06-08,2022-06-21,LONG,70.7294,69.4487,-186.212,102653
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.088,102757
2022-07-20,2022-07-22,LONG,69.0955,70.7953,252.782,103009
2022-07-27,2022-08-26,SHORT,71.9741,72.3854,-58.8567,102951
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.3801,102905
2022-11-29,2022-12-01,LONG,69.8823,71.5196,241.113,103146
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.311,103434
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.151,103727
2023-04-24,2023-05-31,SHORT,72.5505,69.29,466.16,104193
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.456,104309
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.744,104532
2023-07-19,2023-08-21,SHORT,71.1904,69.1842,294.57,104827
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.713,104935
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,211.961,105147
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.996,101364
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.987,101921
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.535,102357
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.299,102839
2022-06-08,2022-06-21,LONG,70.7294,69.4487,-186.212,102653
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.088,102757
2022-07-20,2022-07-22,LONG,69.0955,70.7953,252.782,103009
2022-07-27,2022-08-26,SHORT,71.9741,72.3854,-58.8567,102951
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.3801,102905
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,286.639,103192
2023-01-19,2023-04-20,LONG,69.174,71.1345,292.466,103484
2023-04-24,2023-05-31,SHORT,72.5505,69.29,465.07,103949
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.184,104066
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.223,104288
2023-07-19,2023-08-21,SHORT,71.1904,69.1842,293.881,104582
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.459,104690
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,211.466,104902
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.996,101364
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.987,101921
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.535,102357
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.299,102839
2022-06-09,2022-06-21,LONG,69.803,69.4487,-52.1926,102787
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.224,102891
2022-07-20,2022-07-22,LONG,69.0955,70.7953,253.112,103144
2022-07-27,2022-08-26,SHORT,71.9741,72.3854,-58.9335,103085
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.4394,103040
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.014,103327
2023-01-19,2023-04-20,LONG,69.174,71.1345,292.848,103619
2023-04-24,2023-05-31,SHORT,72.5505,69.29,465.677,104085
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.335,104201
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.514,104424
2023-07-19,2023-08-21,SHORT,71.1904,69.1842,294.265,104718
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.6,104827
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,211.742,105039
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.996,101364
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.987,101921
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.535,102357
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.299,102839
2022-06-09,2022-06-21,LONG,69.803,69.4487,-52.1926,102787
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.224,102891
2022-07-20,2022-07-22,LONG,69.0955,70.7953,253.112,103144
2022-07-27,2022-08-26,SHORT,71.9741,72.3854,-58.9335,103085
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.4394,103040
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.014,103327
2023-01-19,2023-04-20,LONG,69.174,71.1345,292.848,103619
2023-04-24,2023-05-31,SHORT,72.5505,69.29,465.677,104085
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.335,104201
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.514,104424
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,433.966,104858
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.745,104967
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.025,105179
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.996,101364
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.987,101921
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.535,102357
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.299,102839
2022-06-09,2022-06-21,LONG,69.803,69.4487,-52.1926,102787
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.224,102891
2022-07-20,2022-07-22,LONG,69.0955,70.7953,253.112,103144
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,240.373,103384
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.5713,103339
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.847,103627
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.698,103920
2023-04-24,2023-05-31,SHORT,72.5505,69.29,467.029,104387
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.673,104504
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,223.16,104727
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,435.226,105162
2023-09-06,2023-10-18,LONG,67.7968,68.4999,109.061,105271
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.64,105484
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-07,2022-04-07,LONG,69.2424,72.6197,491.996,101364
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,556.987,101921
2022-05-02,2022-05-13,LONG,68.2861,71.2108,436.535,102357
2022-05-18,2022-06-02,LONG,68.7675,72.001,481.299,102839
2022-06-09,2022-06-21,LONG,69.803,69.4487,-52.1926,102787
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.224,102891
2022-07-20,2022-07-22,LONG,69.0955,70.7953,253.112,103144
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,240.373,103384
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.5713,103339
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.847,103627
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.698,103920
2023-04-24,2023-05-31,SHORT,72.5505,69.29,467.029,104387
2023-06-05,2023-06-07,SHORT,71.032,70.0539,143.748,104531
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,223.217,104754
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,435.339,105190
2023-09-12,2023-10-18,LONG,67.9843,68.4999,79.7796,105269
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.636,105482
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-08,2022-04-07,LONG,67.608,72.6197,747.749,101620
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,558.392,102178
2022-05-02,2022-05-13,LONG,68.2861,71.2108,437.636,102616
2022-05-18,2022-06-02,LONG,68.7675,72.001,482.514,103098
2022-06-09,2022-06-21,LONG,69.803,69.4487,-52.3243,103046
2022-06-22,2022-07-18,SHORT,70.7657,70.0482,104.487,103150
2022-07-20,2022-07-22,LONG,69.0955,70.7953,253.751,103404
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,240.98,103645
2022-09-08,2022-11-21,LONG,71.1334,70.7561,-54.9641,103590
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,288.547,103879
2023-01-19,2023-04-20,LONG,69.174,71.1345,294.413,104173
2023-04-24,2023-05-31,SHORT,72.5505,69.29,468.166,104641
2023-06-05,2023-06-07,SHORT,71.032,70.0539,144.098,104785
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,223.761,105009
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,436.398,105446
2023-09-12,2023-10-18,LONG,67.9843,68.4999,79.9737,105526
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,213.153,105739
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-08,2022-04-07,LONG,67.608,72.6197,747.749,101620
2022-04-20,2022-04-29,SHORT,74.0538,69.9846,558.392,102178
2022-05-02,2022-05-13,LONG,68.2861,71.2108,437.636,102616
2022-05-18,2022-06-02,LONG,68.7675,72.001,482.514,103098
2022-06-09,2022-06-21,LONG,69.803,69.4487,-52.3243,103046
2022-06-23,2022-07-18,SHORT,71.6468,70.0482,229.918,103276
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,240.681,103517
2022-09-08,2022-11-21,LONG,71.1334,70.7561,-54.8959,103462
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,288.189,103750
2023-01-19,2023-04-20,LONG,69.174,71.1345,294.047,104044
2023-04-24,2023-05-31,SHORT,72.5505,69.29,467.585,104511
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,223.176,104735
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,435.257,105170
2023-09-12,2023-10-18,LONG,67.9843,68.4999,79.7647,105250
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.596,105462
2022-02-02,2022-02-24,SHORT,74.7688,68.2491,871.98,100872
2022-03-08,2022-04-07,LONG,67.608,72.6197,747.749,101620
2022-04-21,2022-04-29,SHORT,74.5715,69.9846,625.069,102245
2022-05-02,2022-05-13,LONG,68.2861,71.2108,437.922,102683
2022-05-18,2022-06-02,LONG,68.7675,72.001,482.828,103166
2022-06-09,2022-06-21,LONG,69.803,69.4487,-52.3585,103113
2022-06-23,2022-07-18,SHORT,71.6468,70.0482,230.068,103343
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,240.838,103584
