,Ticker1,Ticker2,PnL
0,ADI,GILD,0.0
1,AMAT,XLU,0.0
2,AVGO,CVX,-669.368
3,BAC,CVX,12663.1
4,BAC,LOW,6841.38
5,BAC,LRCX,0.0
6,BAC,QCOM,1858.83
7,BP,XLU,-3438.14
8,CL,CVX,2629.93
9,CL,UPS,0.0
10,CVX,FDX,-3257.92
11,CVX,HD,-877.276
12,CVX,LOW,3884.27
13,CVX,PG,65.6752
14,CVX,TXN,1812.36
15,CVX,UPS,456.217
16,CVX,XLU,4923.32
17,GOOGL,KDP,1449.35
18,INTC,CL,0.0
19,INTC,CVX,0.0
20,INTC,FDX,0.0
21,INTC,HD,0.0
22,JPM,AVGO,0.0
23,JPM,BAC,0.0
24,JPM,FDX,0.0
25,JPM,KDP,0.0
26,KDP,LOW,10305.2
27,KLAC,ADI,12045.5
28,KLAC,AMD,8191.88
29,KLAC,GILD,0.0
30,KLAC,MNST,9478.95
31,KLAC,XLU,0.0
32,KRE,CL,0.0
33,KRE,CVX,-806.931
34,KRE,XLF,0.0
35,LRCX,KDP,5113.2
36,LRCX,LOW,-2854.87
37,LRCX,XOM,0.0
38,META,AMAT,0.0
39,PEP,AMAT,0.0
40,PEP,AMD,0.0
41,PEP,GOOGL,-491.464
42,PEP,KBE,1729.19
43,PEP,KDP,250.814
44,PEP,META,3556.45
45,PEP,MNST,3881.64
46,PEP,MS,5909.52
47,PEP,PG,3962.53
48,PEP,XOM,3631.73
49,QCOM,LOW,0.0
50,SHEL,XLU,-1842.27
51,XLF,NEE,1053.68
52,XLU,XOM,0.0
53,XOM,AMAT,0.0
54,XOM,TXN,8837.23
55,XOM,XLU,2765.65
